n.id,name_node_a,id_node_b,name_node_b,id_relationship
13858423f507c2e000f9928b1c241ee2-a87ff679a2f3e71d9181a67b7542122c,Oracle Cloud,27335c011ef4cfdd7ba4cd9a41abc2c2-a87ff679a2f3e71d9181a67b7542122c,Cloud Computing,dce69b32c1c90db41929727623b91bc5-a87ff679a2f3e71d9181a67b7542122c
c29acc2b51f2b406b6eecea7e2684d14-a87ff679a2f3e71d9181a67b7542122c,Huawei,27335c011ef4cfdd7ba4cd9a41abc2c2-a87ff679a2f3e71d9181a67b7542122c,Cloud Computing,dc5b007e82829750f948f5f8bbd45941-a87ff679a2f3e71d9181a67b7542122c
0d19f40ecc4c80ff14c2c225998be837-a87ff679a2f3e71d9181a67b7542122c,Spark,033b8b21e9a6bb06969eaf9e9f5b3abd-a87ff679a2f3e71d9181a67b7542122c,In-memory,3a830c1047787726383415da970edd9d-a87ff679a2f3e71d9181a67b7542122c
51ffd7144fcc4ddc688bf08869913f7f-a87ff679a2f3e71d9181a67b7542122c,Vertica,09d037be8031bba8db90fb2f69c150e0-a87ff679a2f3e71d9181a67b7542122c,Columnares,de27e0ed1b5121ba3f12c3e3726937d0-a87ff679a2f3e71d9181a67b7542122c
df5ce2c75d1977ddd8ac6494795b5ccf-a87ff679a2f3e71d9181a67b7542122c,Cassandra,09d037be8031bba8db90fb2f69c150e0-a87ff679a2f3e71d9181a67b7542122c,Columnares,2e5e984562bf5b8fb2de4c5e315dcf01-a87ff679a2f3e71d9181a67b7542122c
241f2fae45ff465b69bf61a2bc718190-a87ff679a2f3e71d9181a67b7542122c,CQL,bb906c05289c29654b54a94ced2e697c-a87ff679a2f3e71d9181a67b7542122c,Lenguajes,966cf07ba1e3e00b19548f7d41a019a9-a87ff679a2f3e71d9181a67b7542122c
29129331578124536456224852634a50-a87ff679a2f3e71d9181a67b7542122c,MongoDB,9cf5401ebe52d0560ad1e4ae0809e4bb-a87ff679a2f3e71d9181a67b7542122c,Documentales,a1bd7fecfb775e2e0de74a1698053974-a87ff679a2f3e71d9181a67b7542122c
30ee655927b9f44e9e5f30a45e2ae6cb-a87ff679a2f3e71d9181a67b7542122c,Athena,27335c011ef4cfdd7ba4cd9a41abc2c2-a87ff679a2f3e71d9181a67b7542122c,Cloud Computing,3e60ae0c23a7bfb4d81c5e95fb7bc95c-a87ff679a2f3e71d9181a67b7542122c
1965cf7c2c626236f163cbe68ace7c74-a87ff679a2f3e71d9181a67b7542122c,RDS,e8173ce541b175489ea47a083af3b629-a87ff679a2f3e71d9181a67b7542122c,AWS,b94e94bc847ab4f35272213a57413be6-a87ff679a2f3e71d9181a67b7542122c
91474e6333f40be57371e3d65e92edca-a87ff679a2f3e71d9181a67b7542122c,Glue,27335c011ef4cfdd7ba4cd9a41abc2c2-a87ff679a2f3e71d9181a67b7542122c,Cloud Computing,89928e7deb2381a05a9e0fdfbf811b57-a87ff679a2f3e71d9181a67b7542122c
