n.id,name_node_a,id_node_b,name_node_b,id_relationship
a5b6fc8ad5a79c2b57af4137389a7b6b-c81e728d9d4c2f636f067f89cc14862c,Marcelo,43b6f263edd9539008d17939797e828c-a87ff679a2f3e71d9181a67b7542122c,Golden Gate,8aedd0b2654b9fca957c0b3ed0a947d7-c81e728d9d4c2f636f067f89cc14862c
a5b6fc8ad5a79c2b57af4137389a7b6b-c81e728d9d4c2f636f067f89cc14862c,Marcelo,7658e020131c329d176f7ad2d46b0c42-a87ff679a2f3e71d9181a67b7542122c,Oracle,ce28c7f8701d888348c234666f6918e5-c81e728d9d4c2f636f067f89cc14862c
a5b6fc8ad5a79c2b57af4137389a7b6b-c81e728d9d4c2f636f067f89cc14862c,Marcelo,51ffd7144fcc4ddc688bf08869913f7f-a87ff679a2f3e71d9181a67b7542122c,Vertica,2a4f423a3696b3f54a7791e35d545246-c81e728d9d4c2f636f067f89cc14862c
a5b6fc8ad5a79c2b57af4137389a7b6b-c81e728d9d4c2f636f067f89cc14862c,Marcelo,13858423f507c2e000f9928b1c241ee2-a87ff679a2f3e71d9181a67b7542122c,Oracle Cloud,a9ffe67859eda99fe2cec42d54f27433-c81e728d9d4c2f636f067f89cc14862c
dd05195a0be8a3102470e9d6955e49be-c81e728d9d4c2f636f067f89cc14862c,Perfiles,6bde45527df4be8bbb24be561e65f751-a87ff679a2f3e71d9181a67b7542122c,Data Scientist,690198fd20e3b80d3804195466f922df-c81e728d9d4c2f636f067f89cc14862c
dd05195a0be8a3102470e9d6955e49be-c81e728d9d4c2f636f067f89cc14862c,Perfiles,ac894b03f495d68a60f2d786e79aa1e3-a87ff679a2f3e71d9181a67b7542122c,Data Architect,5dac44a5f63127ccde45724b1502a0b0-c81e728d9d4c2f636f067f89cc14862c
dd05195a0be8a3102470e9d6955e49be-c81e728d9d4c2f636f067f89cc14862c,Perfiles,7d49add0d0c4fa941e927e85ad5226f2-a87ff679a2f3e71d9181a67b7542122c,Developer,85ccf554027fe5cb1cf8e15c5788cdf2-c81e728d9d4c2f636f067f89cc14862c
dd05195a0be8a3102470e9d6955e49be-c81e728d9d4c2f636f067f89cc14862c,Perfiles,4bc67c9e6001ce92edd195848030cb53-a87ff679a2f3e71d9181a67b7542122c,Technical Leader,30e71787f0f2ebe3d3b171d0f03ca3a5-c81e728d9d4c2f636f067f89cc14862c
dd05195a0be8a3102470e9d6955e49be-c81e728d9d4c2f636f067f89cc14862c,Perfiles,720d1c3fee7aef666abe0c50a9a7cde1-a87ff679a2f3e71d9181a67b7542122c,DBA,66055244d8e215fc43c4b980e5efe301-c81e728d9d4c2f636f067f89cc14862c
dd05195a0be8a3102470e9d6955e49be-c81e728d9d4c2f636f067f89cc14862c,Perfiles,a8cea7ec2709db07e628b80e2dafa2b6-a87ff679a2f3e71d9181a67b7542122c,Data Engineer,9cd2455c6d9d9bb6c2167235d058333e-c81e728d9d4c2f636f067f89cc14862c
c75df195acce9063a96459de85bc72b9-a87ff679a2f3e71d9181a67b7542122c,Monta un Cluster Hadoop Big Data desde Cero,7e978e6cfaa3e6de95722312e007357f-a87ff679a2f3e71d9181a67b7542122c,Hadoop,55faa3f0afb670b119bcc593f868c2ed-a87ff679a2f3e71d9181a67b7542122c
c75df195acce9063a96459de85bc72b9-a87ff679a2f3e71d9181a67b7542122c,Monta un Cluster Hadoop Big Data desde Cero,f441e44866d2cf1fa1edd368e0723cc8-a87ff679a2f3e71d9181a67b7542122c,cursos,40f3a960f943b2db3059f9062e0ca08a-a87ff679a2f3e71d9181a67b7542122c
35c4798d0240368c638e55bae0d57ffa-a87ff679a2f3e71d9181a67b7542122c,Linux,deafefd874acdccf7a2c9c1d235ecf62-a87ff679a2f3e71d9181a67b7542122c,SO,0f81dd22851c4f0fa97a39770861ffa9-a87ff679a2f3e71d9181a67b7542122c
79b60482d282d7fe48287ef484be2d31-a87ff679a2f3e71d9181a67b7542122c,Jonatan,720d1c3fee7aef666abe0c50a9a7cde1-a87ff679a2f3e71d9181a67b7542122c,DBA,5a52f1448645e78803b9da19dfb81d8f-c81e728d9d4c2f636f067f89cc14862c
79b60482d282d7fe48287ef484be2d31-a87ff679a2f3e71d9181a67b7542122c,Jonatan,342c8909ccc271dbb9d83e960fd04b00-a87ff679a2f3e71d9181a67b7542122c,windows,5ec88b25c8fc7eb0e34e718099fbb62c-c81e728d9d4c2f636f067f89cc14862c
79b60482d282d7fe48287ef484be2d31-a87ff679a2f3e71d9181a67b7542122c,Jonatan,35c4798d0240368c638e55bae0d57ffa-a87ff679a2f3e71d9181a67b7542122c,Linux,ca82c3626509e96771514d4abbd216a6-c81e728d9d4c2f636f067f89cc14862c
79b60482d282d7fe48287ef484be2d31-a87ff679a2f3e71d9181a67b7542122c,Jonatan,e9305b36f4ce5b64e3ffdde4cb4414df-a87ff679a2f3e71d9181a67b7542122c,MySQL,a4bbe0ae7d65a6894b3b03dd18119bdc-c81e728d9d4c2f636f067f89cc14862c
79b60482d282d7fe48287ef484be2d31-a87ff679a2f3e71d9181a67b7542122c,Jonatan,2320e632b8e006a33216f6b3a1c78578-a87ff679a2f3e71d9181a67b7542122c,SQL Server,04d44334e29dd979506a059d70af38f0-c81e728d9d4c2f636f067f89cc14862c
79b60482d282d7fe48287ef484be2d31-a87ff679a2f3e71d9181a67b7542122c,Jonatan,7c180a87acb6847b9b584671fc5e30e5-a87ff679a2f3e71d9181a67b7542122c,SQL,126145a54b6eb114debd8f3805e921ee-c81e728d9d4c2f636f067f89cc14862c
79b60482d282d7fe48287ef484be2d31-a87ff679a2f3e71d9181a67b7542122c,Jonatan,202a4729f08cfad5658fb7a6fb4ab47a-a87ff679a2f3e71d9181a67b7542122c,java,15fb6a3337d60db065a3e34643184c7e-c81e728d9d4c2f636f067f89cc14862c
6bb28c0af81044a5f2bf023eb7f253e2-a87ff679a2f3e71d9181a67b7542122c,Lucas,720d1c3fee7aef666abe0c50a9a7cde1-a87ff679a2f3e71d9181a67b7542122c,DBA,ba421d84b8027811a68a5b87d4af820d-c81e728d9d4c2f636f067f89cc14862c
6bb28c0af81044a5f2bf023eb7f253e2-a87ff679a2f3e71d9181a67b7542122c,Lucas,2320e632b8e006a33216f6b3a1c78578-a87ff679a2f3e71d9181a67b7542122c,SQL Server,4e31e5409155b98989a9ea88ddab1717-c81e728d9d4c2f636f067f89cc14862c
